scheduler,seq_cfg_id,page_size,head_dim,num_kv_heads,num_qo_heads,model_name,time_ms,memory_MB,bandwidth_GB_s,num_repeats,decode_len,prefill_len,prefill_chunk_size
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,32,Qwen-8B,9.23956339329481,4289.0,453.31974945261965,100,8192,16384,16384
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,64,Llama-3.1-70B,15.88356089486016,4418.0,271.63009312327034,100,8192,16384,16384
BatchPrefillWithPagedKVCacheWrapper,1,1,64,4,64,Qwen-MoE-235B,9.741500937955248,1169.0,117.18949366950669,100,8192,16384,16384
BatchAttentionWrapper,1,1,128,8,32,Qwen-8B,8.11329607066181,4289.0,516.2484551310528,100,8192,16384,16384
BatchAttentionWrapper,1,1,128,8,64,Llama-3.1-70B,14.61396781999204,4418.0,295.2280433447916,100,8192,16384,16384
BatchAttentionWrapper,1,1,64,4,64,Qwen-MoE-235B,9.07056850588984,1169.0,125.85777415811566,100,8192,16384,16384
BatchAttentionWrapper (flipped),1,1,128,8,32,Qwen-8B,8.700445806168847,4289.0,481.40941921967476,100,8192,16384,16384
BatchAttentionWrapper (flipped),1,1,128,8,64,Llama-3.1-70B,16.283294037183126,4418.0,264.9619367646305,100,8192,16384,16384
BatchAttentionWrapper (flipped),1,1,64,4,64,Qwen-MoE-235B,9.232849670416778,1169.0,123.64563523197351,100,8192,16384,16384
Decode + Prefill,1,1,128,8,32,Qwen-8B,8.836037929107745,4289.0,474.0220216464087,100,8192,16384,16384
Decode + Prefill,1,1,128,8,64,Llama-3.1-70B,15.645497043679159,4418.0,275.76325079062,100,8192,16384,16384
Decode + Prefill,1,1,64,4,64,Qwen-MoE-235B,9.543546429524818,1169.0,119.62026600176988,100,8192,16384,16384
