scheduler,seq_cfg_id,page_size,head_dim,num_kv_heads,num_qo_heads,time_ms,memory_MB,bandwidth_GB_s
BatchPrefillWithPagedKVCacheWrapper,1,1,64,4,28,0.3711768885453542,1024.4375,2695.2843158269743
BatchAttentionWrapper,1,1,64,4,28,0.383671737332859,1024.4375,2607.508317001253
BatchPrefillWithPagedKVCacheWrapper,1,1,128,4,28,0.7016307434697789,2048.875,2851.7200975154847
BatchAttentionWrapper,1,1,128,4,28,0.7051822226198893,2048.875,2837.3581012208956
BatchPrefillWithPagedKVCacheWrapper,1,8,64,4,28,0.3786265064494401,1024.4375,2642.2535904187735
BatchAttentionWrapper,1,8,64,4,28,0.3742305633659187,1024.4375,2673.2911312632227
BatchPrefillWithPagedKVCacheWrapper,1,8,128,4,28,0.7048982663417426,2048.875,2838.50108267604
BatchAttentionWrapper,1,8,128,4,28,0.7145856003761292,2048.875,2800.0207268860872
BatchPrefillWithPagedKVCacheWrapper,1,16,64,4,28,0.376181432003275,1024.4375,2659.427502219303
BatchAttentionWrapper,1,16,64,4,28,0.3645046814407468,1024.4375,2744.621117455737
BatchPrefillWithPagedKVCacheWrapper,1,16,128,4,28,0.7002377524040639,2048.875,2857.393057312526
BatchAttentionWrapper,1,16,128,4,28,0.708352000467361,2048.875,2824.6613136793053
BatchPrefillWithPagedKVCacheWrapper,2,1,64,4,28,0.12495085714273077,17.75,138.72641429901896
BatchAttentionWrapper,2,1,64,4,28,0.10928639998694636,17.75,158.6106265470401
BatchPrefillWithPagedKVCacheWrapper,2,1,128,4,28,0.14695016516868128,35.5,235.916500741631
BatchAttentionWrapper,2,1,128,4,28,0.1567690774726753,35.5,221.14035056462328
BatchPrefillWithPagedKVCacheWrapper,2,8,64,4,28,0.13117430516976422,17.75,132.14466318359044
BatchAttentionWrapper,2,8,64,4,28,0.10979410029343657,17.75,157.87719311577814
BatchPrefillWithPagedKVCacheWrapper,2,8,128,4,28,0.14820434721229284,35.5,233.920052968085
BatchAttentionWrapper,2,8,128,4,28,0.1572167712162776,35.5,220.5106267085748
BatchPrefillWithPagedKVCacheWrapper,2,16,64,4,28,0.13058323566574453,17.75,132.74280030378483
BatchAttentionWrapper,2,16,64,4,28,0.10958945655007353,17.75,158.17200778872163
BatchPrefillWithPagedKVCacheWrapper,2,16,128,4,28,0.1482081464640626,35.5,233.91405652864205
BatchAttentionWrapper,2,16,128,4,28,0.15682184631721333,35.5,221.06593924340706
BatchPrefillWithPagedKVCacheWrapper,3,1,64,4,28,0.19123261350474946,150.4912109375,768.5094633583634
BatchAttentionWrapper,3,1,64,4,28,0.09782180102511728,150.4912109375,1502.365235980648
BatchPrefillWithPagedKVCacheWrapper,3,1,128,4,28,0.25439004759525374,300.982421875,1155.4231352240552
BatchAttentionWrapper,3,1,128,4,28,0.14893752589475276,300.982421875,1973.4995904927953
BatchPrefillWithPagedKVCacheWrapper,3,8,64,4,28,0.1837586070899913,150.4912109375,799.7670177657596
BatchAttentionWrapper,3,8,64,4,28,0.09670480437028343,150.4912109375,1519.7184270020937
BatchPrefillWithPagedKVCacheWrapper,3,8,128,4,28,0.243603429188589,300.982421875,1206.5846008052542
BatchAttentionWrapper,3,8,128,4,28,0.14644572497644556,300.982421875,2007.0790486344365
BatchPrefillWithPagedKVCacheWrapper,3,16,64,4,28,0.17432563280572697,151.4443359375,848.3827474688288
BatchAttentionWrapper,3,16,64,4,28,0.09597511105035823,151.4443359375,1540.9709631527726
BatchPrefillWithPagedKVCacheWrapper,3,16,128,4,28,0.24070686339951172,302.888671875,1228.8379086930918
BatchAttentionWrapper,3,16,128,4,28,0.14594950468851886,302.888671875,2026.6579133597977
BatchPrefillWithPagedKVCacheWrapper,4,1,64,4,28,1.8018988618310892,2054.8681640625,1113.6625001405848
BatchAttentionWrapper,4,1,64,4,28,1.3789684667306787,2054.8681640625,1455.2234078454876
BatchPrefillWithPagedKVCacheWrapper,4,1,128,4,28,2.7813156604766847,4109.736328125,1442.9913295949725
BatchAttentionWrapper,4,1,128,4,28,2.3345591962337493,4109.736328125,1719.1315557169212
BatchPrefillWithPagedKVCacheWrapper,4,8,64,4,28,1.7744826186787,2054.8681640625,1130.8688912160223
BatchAttentionWrapper,4,8,64,4,28,1.367791770161062,2054.8681640625,1467.1145383708433
BatchPrefillWithPagedKVCacheWrapper,4,8,128,4,28,2.840570797791352,4109.736328125,1412.890108584918
BatchAttentionWrapper,4,8,128,4,28,2.3383896231651304,4109.736328125,1716.3155118274121
BatchPrefillWithPagedKVCacheWrapper,4,16,64,4,28,1.7505831122398376,2054.8681640625,1146.3078658971763
BatchAttentionWrapper,4,16,64,4,28,1.3628691820537342,2054.8681640625,1472.4136534097418
BatchPrefillWithPagedKVCacheWrapper,4,16,128,4,28,2.8222235339028496,4109.736328125,1422.0753015210046
BatchAttentionWrapper,4,16,128,4,28,2.3193912148475646,4109.736328125,1730.374055589557
BatchPrefillWithPagedKVCacheWrapper,5,1,64,4,28,0.17477632344070107,116.2265625,649.4157801638155
BatchAttentionWrapper,5,1,64,4,28,0.09688086649033137,116.2265625,1171.5677878741278
BatchPrefillWithPagedKVCacheWrapper,5,1,128,4,28,0.22902054330449045,232.453125,991.1993116748561
BatchAttentionWrapper,5,1,128,4,28,0.13783433631194375,232.453125,1646.9408926456438
BatchPrefillWithPagedKVCacheWrapper,5,8,64,4,28,0.16673137781060773,117.1171875,685.9671821814226
BatchAttentionWrapper,5,8,64,4,28,0.09556705885817447,117.1171875,1196.7748592922794
BatchPrefillWithPagedKVCacheWrapper,5,8,128,4,28,0.22279255930051253,234.234375,1026.7151989012195
BatchAttentionWrapper,5,8,128,4,28,0.1365088425380619,234.234375,1675.675381777251
BatchPrefillWithPagedKVCacheWrapper,5,16,64,4,28,0.160591304158243,118.109375,718.2280954003769
BatchAttentionWrapper,5,16,64,4,28,0.09536908561629909,118.109375,1209.4190248136874
BatchPrefillWithPagedKVCacheWrapper,5,16,128,4,28,0.21883022221359047,236.21875,1054.1613983360862
BatchAttentionWrapper,5,16,128,4,28,0.13441837585518973,236.21875,1716.1520631330304
BatchPrefillWithPagedKVCacheWrapper,6,1,64,4,28,0.17978581398264648,119.72265625,650.3107998578008
BatchAttentionWrapper,6,1,64,4,28,0.08904002760753368,119.72265625,1313.0797421748362
BatchPrefillWithPagedKVCacheWrapper,6,1,128,4,28,0.24322294777161196,239.4453125,961.3949470255263
BatchAttentionWrapper,6,1,128,4,28,0.1335197226890238,239.4453125,1751.301667491434
BatchPrefillWithPagedKVCacheWrapper,6,8,64,4,28,0.1733260206570945,120.125,676.8145363735283
BatchAttentionWrapper,6,8,64,4,28,0.08776560690667894,120.125,1336.6234729879454
BatchPrefillWithPagedKVCacheWrapper,6,8,128,4,28,0.23981908118068979,240.25,978.3172359343168
BatchAttentionWrapper,6,8,128,4,28,0.13162812852246858,240.25,1782.4392343688994
BatchPrefillWithPagedKVCacheWrapper,6,16,64,4,28,0.16945358785103315,120.6875,695.5231117464441
BatchAttentionWrapper,6,16,64,4,28,0.08773990468767316,120.6875,1343.2757550659653
BatchPrefillWithPagedKVCacheWrapper,6,16,128,4,28,0.2383229552655463,241.375,989.0686911584176
BatchAttentionWrapper,6,16,128,4,28,0.13106389564978504,241.375,1798.4950948456458
