scheduler,seq_cfg_id,page_size,head_dim,num_kv_heads,num_qo_heads,time_ms,memory_MB,bandwidth_GB_s,num_repeats
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,32,4.708091459837225,4161.0,863.083607691956,50
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,64,4.855753426998854,4194.0,843.4742798567903,50
BatchPrefillWithPagedKVCacheWrapper,1,1,64,4,64,3.4584282653364866,1065.0,300.72593175466943,50
BatchAttentionWrapper (flipped),1,1,128,8,32,2.94228062470754,4161.0,1381.0635628625348,50
BatchAttentionWrapper (flipped),1,1,128,8,64,3.8164435711999736,4194.0,1073.1727192057554,50
BatchAttentionWrapper (flipped),1,1,64,4,64,2.531395277116034,1065.0,410.8560491923232,50
Decode + Prefill,1,1,128,8,32,3.0275160216312442,4161.0,1342.1816873856126,50
Decode + Prefill,1,1,128,8,64,4.24133189568296,4194.0,965.6643775434815,50
Decode + Prefill,1,1,64,4,64,2.2322090355079207,1065.0,465.9236863376228,50
BatchAttentionWrapper,1,1,128,8,32,3.5592299628257753,4161.0,1141.6729475029167,50
BatchAttentionWrapper,1,1,128,8,64,4.256865387393368,4194.0,962.1406251485781,50
BatchAttentionWrapper,1,1,64,4,64,2.673503716819816,1065.0,389.0172495204706,50
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,32,4.47882808127337,4161.0,907.2633485285994,100
BatchPrefillWithPagedKVCacheWrapper,1,1,128,8,64,4.8274300592972175,4194.0,848.4230894473604,100
BatchPrefillWithPagedKVCacheWrapper,1,1,64,4,64,3.277236077470912,1065.0,317.3525000684761,100
BatchAttentionWrapper (flipped),1,1,128,8,32,3.0782355849444865,4161.0,1320.066788381722,100
BatchAttentionWrapper (flipped),1,1,128,8,64,3.8359936181538634,4194.0,1067.7033208859002,100
BatchAttentionWrapper (flipped),1,1,64,4,64,2.616697141362561,1065.0,397.46252864343063,100
Decode + Prefill,1,1,128,8,32,2.985948464719372,4161.0,1360.8662743219506,100
Decode + Prefill,1,1,128,8,64,4.244091529937254,4194.0,965.0364739095418,100
Decode + Prefill,1,1,64,4,64,2.21567777449679,1065.0,469.39996170526496,100
BatchAttentionWrapper,1,1,128,8,32,3.883745733996232,4161.0,1046.2777022013827,100
BatchAttentionWrapper,1,1,128,8,64,4.196638431400061,4194.0,975.9485340350402,100
BatchAttentionWrapper,1,1,64,4,64,2.832006381087833,1065.0,367.24460419488855,100
