decode_kv_len,decode_qo_len,prefill_kv_len,prefill_qo_len,decode_time_ms,prefill_time_ms,sm_time
24064,94,0,0,0.019456,0.0,0.019456
24320,95,0,0,0.009312,0.0,0.009312
24576,96,0,0,0.008928,0.0,0.008928
23808,93,256,256,0.010848,0.062496,0.073344
24064,94,256,256,0.009248,0.060832,0.07008
24320,95,256,256,0.009824,0.04352,0.053344
23552,92,512,512,0.017568,0.04352,0.061088
23808,93,512,512,0.020192,0.066848,0.08704
24064,94,0,0,0.013632,0.0,0.013632
24320,95,0,0,0.010432,0.0,0.010432
14848,58,0,0,0.012544,0.0,0.012544
15104,59,0,0,0.008512,0.0,0.008512
15360,60,0,0,0.00928,0.0,0.00928
14592,57,256,256,0.009888,0.052608,0.062496
14848,58,256,256,0.009408,0.054496,0.063904
15104,59,256,256,0.009888,0.045248,0.055136
14336,56,512,512,0.02528,0.045472,0.070752
14592,57,512,512,0.014752,0.074816,0.089568
14848,58,512,512,0.014208,0.05904,0.07324800000000001
14848,58,0,0,0.012544,0.0,0.012544
23552,46,0,0,0.019744,0.0,0.019744
24064,47,0,0,0.024032,0.0,0.024032
24576,48,0,0,0.022784,0.0,0.022784
23552,46,256,256,0.0184,0.063424,0.081824
24064,47,256,256,0.01856,0.06592,0.08448
23552,46,512,512,0.039776,0.07216,0.11193600000000001
24064,47,0,0,0.020064,0.0,0.020064
24576,48,0,0,0.02288,0.0,0.02288
23552,46,256,256,0.03696,0.028576,0.065536
24064,47,256,256,0.016096,0.063552,0.079648
6144,12,0,0,0.024576,0.0,0.024576
6656,13,0,0,0.025024,0.0,0.025024
7168,14,0,0,0.030016,0.0,0.030016
6144,12,256,256,0.019072,0.061696,0.080768
6656,13,256,256,0.01728,0.059744,0.077024
6144,12,512,512,0.02352,0.0768,0.10031999999999999
6144,12,0,0,0.024448,0.0,0.024448
6656,13,0,0,0.021888,0.0,0.021888
7168,14,0,0,0.019296,0.0,0.019296
6144,12,256,256,0.034432,0.019456,0.053888
24576,24,0,0,0.050016,0.0,0.050016
23552,23,256,256,0.042784,0.07632,0.119104
24576,24,256,256,0.03616,0.06624,0.10239999999999999
22528,22,512,512,0.079168,0.075168,0.154336
23552,23,512,512,0.050112,0.10576,0.155872
24576,24,512,512,0.032928,0.078304,0.111232
24576,24,0,0,0.062592,0.0,0.062592
23552,23,256,256,0.045952,0.07424,0.120192
24576,24,256,256,0.04704,0.014976,0.062016
22528,22,512,512,0.090368,0.070784,0.16115200000000002
4096,4,0,0,0.03296,0.0,0.03296
5120,5,0,0,0.050656,0.0,0.050656
6144,6,0,0,0.037376,0.0,0.037376
4096,4,256,256,0.050656,0.070912,0.12156800000000001
