parameter,value
alpha_1,6.515767574310303
alpha_2,-5.642796516418457
alpha_3,-0.8529788255691528
beta,-1.7273485660552979
theta_term1,-1.9899420999891504e-10
theta_term2,3.346652374602854e-05
theta_term3,-4.334252480475698e-06
theta_term4,-4.073419657135702e-10
theta_term5,5.193468678044155e-05
theta_decode_qo_len,-0.018847260624170303
theta_R_pd,-0.5240925550460815
feat_mean_term1,0.0
feat_std_term1,1.0
feat_mean_term2,0.0
feat_std_term2,1.0
feat_mean_term3,0.0
feat_std_term3,1.0
feat_mean_term4,0.0
feat_std_term4,1.0
feat_mean_term5,0.0
feat_std_term5,1.0
feat_mean_decode_qo_len,0.0
feat_std_decode_qo_len,1.0
feat_mean_R_pd,0.0
feat_std_R_pd,1.0
