prefill_qo_len,prefill_kv_len,decode_qo_len,decode_kv_len,count,mean,std,variance,min,max,cv
256,256,2,32768,3,0.49356799999999995,0.4036925461387664,0.16296767180800004,0.26048,0.959712,81.79066431717123
512,512,2,32768,6,0.490464,0.36336652985766316,0.1320352350208,0.190624,0.961312,74.08627947893767
1024,1024,2,32768,8,0.585904,0.35959686278625164,0.1293099037257143,0.2437119999999999,0.952576,61.37470690162159
2048,2048,2,32768,5,0.715328,0.3359690355255972,0.11287519283199998,0.336768,0.974528,46.96713053013863
0,0,2,32768,13,0.577408,0.3015167044659383,0.09091232307199998,0.19616,0.961216,52.219003618536505
256,256,3,49152,2,0.4276799999999999,0.2839740833245175,0.08064128000000001,0.2268799999999999,0.6284799999999999,66.39872878276253
32768,32768,2,32768,2,0.582016,0.2772763678931186,0.07688218419200005,0.3859519999999999,0.77808,47.64067789295791
28672,28672,2,32768,4,0.5525519999999999,0.26198331973365535,0.0686352598186667,0.324928,0.8016,47.4133329869844
2048,2048,2,16384,4,0.584208,0.2510908861959483,0.06304663313066666,0.363904,0.802848,42.9797069114029
1024,1024,2,16384,4,0.47824,0.23122038387650864,0.05346286592000002,0.275232,0.7783680000000001,48.348189994178746
0,0,3,49152,8,0.410912,0.22423485027469364,0.050281268077714276,0.09344,0.67968,54.57004181433582
24576,24576,2,32768,4,0.6012,0.2188990081415019,0.04791677576533331,0.324032,0.780544,36.41034732286953
6144,6144,2,32768,4,0.760688,0.20908816896228252,0.04371786240000001,0.562112,1.014464,27.48671846207588
256,256,2,16384,4,0.483184,0.19100858435159407,0.03648427929600003,0.31808,0.668672,39.531231231179596
2048,2048,6,24576,3,0.33670399999999995,0.18833759238134057,0.035471048703999995,0.119232,0.446144,55.93565634070428
24576,22248,3,24576,2,0.515248,0.18262588259061205,0.033352212992000016,0.386112,0.6443840000000001,35.444268110728764
512,512,2,16384,6,0.57952,0.18125492416152453,0.032853347532800004,0.372,0.744512,31.276733180951094
28672,28672,1,8192,2,0.3478399999999999,0.15214675189434712,0.02314863411200002,0.2402559999999999,0.455424,43.74044153938785
8192,8192,2,32768,2,0.676848,0.1520788696433531,0.023127982591999986,0.569312,0.784384,22.468688630369655
0,0,2,16384,8,0.532548,0.14791018785349827,0.021877423670857144,0.33536,0.697024,27.7740575170171
28672,28672,3,12288,2,0.401776,0.14393299952408414,0.02071670835200001,0.3,0.503552,35.82419046639419
